RevenueID,DepartmentID,RevenueDate,RevenueCategory,Amount
1,3,2024-01-29,Other,4190.47
2,3,2023-08-08,Commission,454.19
3,3,2024-04-22,Other,1448.5
4,3,2024-04-04,Subscription,3796.15
5,1,2023-08-05,Other,3226.19
6,1,2024-01-21,Product Sales,4745.35
7,2,2024-04-10,Product Sales,701.39
8,5,2024-01-08,Consulting,3970.72
9,5,2024-12-20,Product Sales,3413.5
10,4,2024-07-07,Commission,4186.96
11,1,2023-01-13,Consulting,3418.22
12,3,2023-01-31,Product Sales,3710.71
13,4,2023-12-20,Consulting,331.72
14,5,2023-05-22,Other,4342.57
15,2,2023-04-08,Other,213.44
16,5,2024-02-22,Commission,4589.92
17,4,2023-06-13,Product Sales,2752.0
18,2,2024-05-27,Commission,4690.08
19,1,2024-11-28,Consulting,1698.99
20,2,2023-06-09,Commission,505.16
21,2,2024-01-04,Consulting,837.43
22,1,2023-12-10,Other,3074.03
23,3,2024-12-13,Other,2576.61
24,3,2023-02-05,Consulting,1849.27
25,2,2024-06-18,Subscription,2789.68
26,4,2023-06-27,Consulting,226.13
27,5,2024-12-19,Commission,3445.41
28,1,2023-07-09,Other,1736.74
29,3,2024-08-10,Consulting,3339.75
30,5,2024-08-15,Commission,4628.51
31,3,2023-11-11,Other,2488.86
32,4,2023-07-02,Product Sales,963.4
33,4,2024-11-25,Consulting,1560.7
34,4,2024-12-14,Product Sales,3938.66
35,2,2023-12-25,Consulting,1609.77
36,5,2024-09-25,Subscription,3224.28
37,1,2024-08-12,Other,3056.73
38,3,2024-06-03,Other,3745.28
39,2,2023-11-14,Product Sales,4422.84
40,2,2023-03-11,Commission,4550.88
41,5,2023-11-28,Consulting,2187.15
42,5,2023-07-10,Product Sales,2956.89
43,4,2024-03-16,Subscription,1246.74
44,1,2024-04-17,Consulting,2465.2
45,1,2023-08-03,Commission,4347.88
46,5,2024-11-18,Other,2159.18
47,1,2023-05-26,Product Sales,472.47
48,3,2024-01-19,Commission,4340.49
49,2,2023-11-01,Consulting,1809.96
50,5,2023-08-27,Other,4740.04
51,4,2023-01-28,Other,4730.37
52,3,2023-08-12,Consulting,102.32
53,3,2024-02-01,Product Sales,4954.8
54,1,2023-08-13,Subscription,676.7
55,4,2023-01-07,Consulting,692.24
56,2,2024-12-10,Subscription,2623.76
57,3,2024-09-22,Subscription,4378.51
58,5,2023-01-24,Subscription,2982.25
59,5,2024-07-27,Consulting,2302.65
60,2,2023-05-26,Consulting,248.58
61,3,2024-09-07,Product Sales,3848.34
62,5,2023-11-10,Commission,4204.25
63,5,2023-04-04,Other,3770.45
64,1,2023-02-21,Product Sales,4586.59
65,3,2023-07-25,Subscription,490.78
66,1,2023-04-27,Subscription,3720.91
67,1,2023-12-06,Product Sales,2517.74
68,5,2024-07-19,Other,4640.11
69,2,2023-02-25,Other,4644.93
70,3,2023-07-31,Commission,1385.96
71,5,2024-11-27,Consulting,4764.91
72,4,2023-07-15,Product Sales,4608.69
73,5,2023-11-02,Consulting,4518.03
74,4,2023-06-14,Commission,3102.54
75,4,2023-12-21,Subscription,3350.15
76,4,2023-08-30,Commission,4701.38
77,3,2024-12-01,Subscription,1763.13
78,3,2024-05-30,Subscription,663.24
79,1,2023-11-26,Other,4171.45
80,4,2023-06-18,Subscription,2913.46
81,5,2024-04-08,Subscription,199.0
82,5,2023-05-04,Subscription,3697.19
83,3,2024-03-15,Subscription,1700.82
84,5,2024-11-13,Product Sales,464.83
85,4,2023-09-17,Subscription,3447.57
86,3,2023-07-27,Product Sales,3069.19
87,2,2024-01-23,Subscription,3220.47
88,5,2023-01-24,Other,2952.75
89,1,2024-06-03,Other,4105.88
90,5,2024-06-15,Other,1210.31
91,2,2023-08-09,Commission,1767.87
92,3,2024-10-10,Subscription,271.03
93,4,2024-06-17,Product Sales,1210.97
94,4,2023-04-03,Other,2336.16
95,1,2023-05-07,Commission,2890.6
96,1,2023-01-12,Product Sales,1397.19
97,3,2024-09-25,Product Sales,2424.98
98,3,2024-05-20,Subscription,3613.94
99,4,2024-12-20,Consulting,3690.64
100,3,2023-08-06,Product Sales,2537.97
101,1,2024-06-29,Subscription,3599.73
102,3,2023-10-18,Product Sales,2003.98
103,5,2024-06-13,Subscription,919.85
104,2,2023-08-21,Consulting,404.58
105,3,2024-12-23,Commission,2775.03
106,1,2023-07-02,Commission,1446.27
107,2,2023-06-25,Subscription,4895.15
108,1,2024-12-21,Product Sales,3672.74
109,1,2023-01-29,Consulting,634.98
110,1,2023-11-05,Other,1855.17
111,4,2023-08-09,Other,382.14
112,5,2024-08-12,Other,2509.12
113,3,2023-09-07,Product Sales,4253.87
114,3,2023-06-13,Subscription,4009.47
115,3,2024-11-22,Other,4951.91
116,5,2023-03-12,Commission,4275.78
117,1,2024-10-01,Subscription,2351.17
118,5,2024-06-01,Consulting,283.05
119,5,2024-09-08,Subscription,3361.7
120,4,2023-06-23,Subscription,2849.94
121,4,2024-08-24,Subscription,3055.41
122,3,2023-05-23,Other,3943.71
